,num4black,num4white,0,1,2,3,4,5,6
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3B6F1G8,1.0,2.0,151.0,535.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3B6F1G8A4,2.0,1.0,152.0,410.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2B3B6F1G8A4E1,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3E8,1.0,2.0,154.0,702.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3E8C8,2.0,1.0,155.0,522.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3E8C8C7,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5B6C7E3H3E8G5A3,1.0,1.0,157.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5B6C7E3H3E8G5A3A5,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5,8.0,1.0,159.0,298.0,347.0,441.0,570.0,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5G5,1.0,4.0,160.0,733.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5G5B3,2.0,2.0,161.0,745.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5G5B3D1,1.0,3.0,162.0,558.0,840.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5G5B3D1B6,1.0,1.0,163.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4E3C7E8E2A5G5B3D1B6G8,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5F2,1.0,7.0,165.0,396.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5F2C7,4.0,1.0,166.0,460.0,509.0,,,,
